VRLGBAGEBOORTEGEMEENTETAB;VRLGBAGEBOORTEGEMEENTEJJJJTABVV;
VRLGBAHUISHOUDENSBUS;VRLGBAHUISHOUDENSBUSVV;
VRLGBAMIGRATIEBUS;VRLGBAMIGRATIEBUSVV;
VRLGBANATIONALITEITBUS;VRLGBANATIONALITEITBUSVV;
VRLGBAOVERLIJDENTAB;VRLGBAOVERLIJDENTABVV;
VRLGBAPERSOONKTAB;VRLGBAPERSOONTABVV;
VRLGBAPERSOONTAB;VRLGBAPERSOONTABVV;
VRLMIGMOTBUS;VRLMIGMOTBUSVV;
VSLCOORDTAB;VSLCOORDJJJJTABVV;
VSLGWBTAB;VSLGWBJJJJTABVV;
VSLPOSTCODEBUS;VSLPOSTCODEBUSVV;
VSLVIERKANTTAB;VSLVIERKANTJJJJTABVV;
VSVTAB;VSVJJJJTABVv;
VT_ADVIES;VT_adv;
VT_CASUS;VT_casus;
VT_DIENST;VT_dienst;
VT_MELDING;VT_melding;
VT_OVERDRACHT;VT_overdracht;
VTVPERSOONTAB;VTVPERSOONTABVV;
WANBZVWTAB;WANBZVWJJJJTABVV;
WERKONDERZOEK;WERK2022;
AZWWGE_II;WGE2020-II;
AZWWGE_I;WGE2021-I;
WGPERSOONMNDBEDRAGBUS;WGPERSOONMNDBEDRAGJJJJBUSVV;
WGT;WGTJJJJ;
WLZZINTAB;WLZZINJJJJTABVV;
WMOBUS;WMOJJJJBUSVV;
WMOTAB;WMOJJJJTABVV;
AZWWNE_II;WNE2020-II;
AZWWNE_I;WNE2021-I;
WOONBASEKENMERKENHUISHOUDENS;WoonbaseKenmerkenHuishoudensJJJJVV;
WOONBASEKENMERKENPERSONEN;WoonbaseKenmerkenPersonenJJJJVV;
WOONBASEKENMERKENWOONRUIMTEN;WoonbaseKenmerkenWoonruimtenJJJJVV;
WOONBASEPOPULATIEHUISHOUDENS;WoonbasePopulatieHuishoudensJJJJVV;
WOONBASEPOPULATIEPERSONEN;WoonbasePopulatiePersonenJJJJVV;
WOONBASEPOPULATIEWOONRUIMTEN;WoonbasePopulatieWoonruimtenJJJJVV;
WOONBASESLEUTEL;WoonbaseSleutelJJJJVV;
WOZ;WOZJJJJ;
WSNPpersBUS;WSNPPERSBUSVV;
WUSUITKERING1ATAB;WUSUITKERING1AJJJJMMTABVV;
WWJAARBEDRAGTAB;WWJAARBEDRAGJJJJTABVV;
WWMNDBEDRAGBUS;WWMNDBEDRAGJJJJBUSVV;
WWPERSOONBUS;WWPERSOONJJJJBUSVV;
WWPERSOONMNDBEDRAGBUS;WWPERSOONMNDBEDRAGJJJJBUSVV;
ZEA;ZEAJJJJ;
ZELFSTANDIGENTAB;ZELFSTANDIGENJJJJTABVV;
ZELFSTANDIGENMNDBEDRAGBUS;ZELFSTANDIGENMNDBEDRAGBUSVV;
ZORGMVTAB;ZORGMVJJJJTABVV;
ZORGWOONRUIMTENTAB;ZorgwoonruimtenJJJJTABVV;
ZORGZVTAB;zorgzvjjjjtabvv;
ZVPERC;ZVPERC;
ZVWELVTAB;ZVWELVJJJJTABVV;
ZVWWVPTAB;ZVWWVPJJJJTABVV;
ZVWZORGKOSTENTAB;ZVWZORGKOSTENJJJJTABVV;
ZVWZZGTAB;ZVWZZGJJJJTABVV;
ZWPERSOONMNDBEDRAGBUS;ZWPERSOONMNDBEDRAGJJJJBUSVV;
